Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Muskoka Lakes, Tp",BY-LAW NUMBER 2024-055,No,"10. In the case of the demolition of all or part of a residential building, a non— residential building or a farm building or structure: 10.1. no development charge shall be imposed if a building that has been destroyed or legally demolished is rebuilt within three years of the destructionor demolition. If a different type of building is constructed, a credit equal to the development charge that would have been imposed on the original building if it were constructed elsewhere in the neighbourhood, will apply. 10.2. A credit can, in no case, exceed the amount of the development charge that would othenrvise be payable, and no credit is available if the existing land use is exempt under this by-law.",2024-07-01,,https://muskokalakes.civicweb.net/filepro/documents/78263/,,,,,,,BY- LAW NUMBER 2022- 108,No,,2022-09-14,,https://muskokalakes.civicweb.net/filepro/documents/78263/?preview=172774,BY-LAW 2021-090,Yes,"a dog that is specifically trained to work and live with domestic farm animals (i.e. cattle, sheep) without causing them harm while aggressively repelling predators and is used exclusively for that purpose, and includes breeds such as the following; Akbash, Great Pyrenees, Komondor, Maremma, and similar.",Other,"“Farm Working Dog” means a dog that is specifically trained to and actively assists its owner(s) with the herding of livestock and where the owner(s) can demonstrate that they are an active livestock farmer registered with one of the following associations; Ontario Federation of Agriculture (OFA), Christian Farmers Federation of Ontario (CFFO), the National Farmers Union (NUF) or the National Farmers Union of Ontario (NUF-O).",Yes,Yes,Yes,No,"3.3 The Appeal Committee will consider written requests for exemptions to the maximum number of dogs in special circumstances, such as the number of dogs exceeding the maximum when Farm Working Dog(s), Livestock Guardian dog(s), Hunting dog(s) are included in the total number of dogs.",,,https://muskokalakes.civicweb.net/filepro/documents/78263/?preview=78271,,,,,,,,,,BY- LAW NUMBER 2022- 107,No,,2022-09-14,,https://muskokalakes.civicweb.net/filepro/documents/78263/?preview=172775,NO,,,,,,
"Muskoka, District M",BY-LAW 2024-34,Yes,"8. ExemptionsSubject to section 9 herein, the following types of development shall be exempt from payment of development charges: (a) the development of a non-residential farm building or structure; where ""farm building"" means buildings or structures used to carry on a bona fide farming operation including barns, silos and other ancillary development to an agricultural use, but excluding cannabis production facilities and those buildings or structures used for residential purposes;",2028-08-08,,https://muskoka.civicweb.net/document/42312/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Nairn and Hyman, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 2022-25,No,,No,,No,Yes,Yes,No,none,2022-09-12,,https://nairncentre.ca/wp-content/uploads/2022/11/2022-25.By-law-Registering-of-dogs-controlling-impoundment.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Neebing, M",,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 2014-028,No,,No,,No,Yes,Yes,No,,2019-12-18,,https://www.neebing.org/en/your-local-government/resources/By-Laws-and-Policies/2014-028-Dog-Control-By-law-consolidated.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"New Tecumseth, Tp",By-law Number 2021- 166,Yes,"4. Applicable Lands(3) This by-law shall not apply to land that is owned by and used for the purposes of: (e) agricultural uses,where "" agricultural use"" means lands, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping, equestrian facilities and any other activities customarily carried on in the field of agriculture.",2021-12-13,2027-01-01,https://www.newtecumseth.ca/en/resources/2021-166---Development-Charges.pdf,,,,,,,By-law Number 2020 - 007,Yes,"Except as provided in Section 5.2, this By- law shall not apply to the following: a) any work constituting the tillage of land pursuant to normal agricultural practices by a bona fide farmer b) the removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod -farming, greenhouse operations and nurseries for horticultural products Municipal Act, 2001, Section 142 (6)) provided: i) the exception in 5. 1( b) respecting the removal of topsoil as an incidental part of a normal agricultural practice does not include the removal of topsoil for sale, exchange or other disposition; Municipal Act, 2001, Section142 (7)); ii) the importation of replacement topsoil will be subject to the permit requirements set out in section 11.",2020-01-27,,https://www.newtecumseth.ca/en/town-hall/resources/Documents/Site-Alteration-Fill-By-Law.pdf,By-law 2017-077,Yes,"a dog that is specifically trained to work and/or live with domestic farm animals (i.e. cattle, sheep) without causing harm while aggressively repelling predators and is used exclusively for that purpose;",No,,Yes,Yes,No,,"2.2 No person shall keep or Harbour more than five (5) Dogs at any one time in a Dwelling Unit, building or property in any Rural area of the Town 2.3 Any person wishing more than five (5) Dogs in a Rural Area shall: 2.2.1 Apply in writing to the Town Clerk…",2017-05-29,,https://www.newtecumseth.ca/en/town-hall/resources/Documents/bylaws/Canine-Control-By-law-No.-2017-077-Consolidation-Accessible.doc.pdf,,No,,,,,,,,By-law Number 2022- 063,No,,2022-06-13,,https://www.newtecumseth.ca/en/resources/Public-Works/2022-063---Tree-By-law---Signed.pdf,YES,YES,YES,YES,YES,YES,https://newtecumseth.ca/Bylaws/2007-100-Fence.pdf
"Newbury, Tp",NONE,,,,,,,,,,,,"BY-LAW NO. 692, BEING THE RESTRICTED AREA (LAND USE) BY-LAW, AS AMENDED(January 1, 2017 consolidated version)",Other,"Agricultural (A1) Zone This zone permits the full range of agricultural activities. See SEC 5.1 PERMITTED USESNo land, building, or structure shall be used or erected in the Agricultural (A) Zone except for the following purposes: agricultural use, agricultural home occupation, commercial greenhouse, ect.",1978-11-06,,https://newbury.ca/Zoning_BL-Consolidated_Version.pdf,By-law Number 131-15Animal Control By Law,No,,No,,No,Yes,Yes,No,"2No Guardian shall keep in or upon any lands or premises within the Village of Newbury, irrespective of the number of owners, more than two (2) dogs, provided that any young born on the premises may be kept there for a period not exceeding twelve (12) weeks after birth.",2015-12-15,,https://newbury.ca/animal_control_by-law.pdf,,,,,,,,,,BY-LAW NUMBER 5115-09,Yes,"land previously cleared and used for agricultural purposes, which has become overgrown with young (less than 10 years old) earlysuccessional tree species (e.g. Sumac, Hawthorne, Apple, Scots Pine, Poplar, White Birch, Ash) and the land is intended to be used again as part of an agricultural operation (defined as land eligible for a Farm Business Registration Number);",2009-09-24,,https://www.wellington.ca/media/file/conservation-and-sustainable-use-woodlands-law-5115-09,NO,,,,,,
"Newmarket, Tp",By-law 2019-46,Yes,"Exemptions3.5 Notwithstanding the provisions of this by-law, development charges shall not be imposed or may be deferred, on terms and conditions, satisfactory to the Town, with respect to: g) agricultural uses;where “agricultural use” means lands, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping, equestrian facilities and any other activities customarily carried on in the field of agriculture;",2019-07-18,2024-07-21,https://www.newmarket.ca/TownGovernment/Documents/2019-46.pdf,Newmarket Stormwater Charges,No,,,,https://www.newmarket.ca/LivingHere/Pages/Stormwater-Charge.aspx,BY-LAW NUMBER 2016-58,Yes,,2016-11-14,,https://www.newmarket.ca/LivingHere/Documents/2016-58%20Site%20Alteration%20By-law.pdf,By-law 2020-30,No,,No,,No,Yes,Yes,No,NOT KNOWN,2020-06-29,,https://www.newmarket.ca/LivingHere/Documents/Bylaw%20Consolidations/2020-30%20-%20Animal%20Control%20By-law%20-%20Consolidation.pdf,By-law 2020-30Animal Control By-law,Yes,NOT KNOWN,2016-03-01,,No,No,2;3;4;9,https://www.newmarket.ca/LivingHere/Documents/2020-30%20Animal%20Control%20By-law.pdf,By-law 2022-10,No,,2022-02-07,,https://www.newmarket.ca/LivingHere/Documents/Bylaw%20Consolidations/2022-10%20-%20Private%20Tree%20Protection%20By-law%20-%20Consolidation.pdf,YES,YES,YES,NO,NO,YES,https://www.newmarket.ca/Bylaws/Documents/By-Law-2019-20-Fence-By-Law.pdf
"Niagara Falls, C",By-law 2019 - 69,Yes,"8. Exemptions8.2 Notwithstanding any other provision of this by-law, no Development Charge is imposed under this by-law respecting: (c) land and buildings used for agricultural use;  where “agricultural use” means use or intended use for bona fide farming purposes, including, but not limited to: (a) cultivation of crops, whether on open land or in greenhouses, including, but not limited to, fruit, vegetables, herbs, grains, field crops, sod, trees, shrubs, flowers, and ornamental plants; (b) raising of animals including, but not limited to, cattle, horses, pigs, poultry, livestock, fish; and (c) Agricultural animal husbandry, dairying, equestrian activities, horticulture, fallowing, pasturing, and market gardening;but excluding: (d) retail sales activities including, but not limited to, restaurants, banquet facilities, hospitality facilities and gift shops; (e) services related to grooming, boarding or breeding of household pets; and (f) a residential or commercial use or a Marihuana Operation;",2024-05-28,2024-07-08,https://niagarafalls.civicweb.net/document/74854/,,,,,,,By- law No. 2015 - 08,No,,2015-01-27,,pdf recevied by emailhttp://pdf recevied by email,By-Law No. 2019 - 35,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-03-19,,https://niagarafalls.ca/pdf/by-laws/Animal_control.pdf,By-Law No. 2019 - 35Animal Control By-law,Yes,10,2019-03-19,,No,No,2;3;4,https://niagarafalls.ca/pdf/by-laws/Animal_control.pdf,By-law No. 2004-173,No,,2004-09-20,,https://niagarafalls.ca/pdf/by-laws/tree-by-law.pdf,YES,YES,NO,YES,YES,NO,https://www.niagarafalls.ca/pdf/bylaws/2005-88-fence.pdf
"Niagara, Regional M",BY-LAW NO. 2022-71,Yes,"DISCRETIONARY EXEMPTIONS19. Notwithstanding any other provision of this By-law, no development charge is imposed under this By-law respecting: (a) non-residential lands and buildings used for agricultural use;(b) on-farm site farm accommodations used for agricultural use;  where “agricultural use” means use or intended use for bona fide farming purposes(a) including (but not limited to): (i) cultivation of crops, whether on open land or in greenhouses, including (but not limited to) fruit, vegetables, herbs, grains, field crops, marijuana, sod, trees, shrubs, flowers, and ornamental plants; (ii) raising of animals, including (but not limited to) cattle, horses, pigs, poultry, livestock, fish; and (iii) agricultural animal husbandry, dairying, equestrian activities, horticulture, fallowing, pasturing, and market gardening;(b) but excluding: (i) retail sales activities; including but not limited to restaurants, banquet facilities, hospitality facilities and gift shops; (ii) services related to grooming, boarding, or breeding of household pets; and (iii) marijuana processing or production facilities",2022-08-25,2027-08-31,https://www.niagararegion.ca/government/bylaws/pdf/by-law-2022-71.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,see local municipalities,,,,,,,,,BY-LAW NO. 2020-79,Yes,"4.15 The Harvesting, Injuring or Destruction of Trees by a Farmer that involves theclearing of all or part of a Woodland for Agricultural Use on land that is owned bythe Farmer doing the clearing and is part of a farm operation or farm corporationthat has existed for at least three (3) years prior to such clearing.",2021-01-31,,https://www.niagararegion.ca/government/bylaws/pdf/by-law-2020-79.pdf,NO,,,,,,
"Niagara-on-the-Lake, Tp",BY-LAWNO. 5072-18,Yes,"Applicable Lands(2) This by-law shall not apply to land that is owned by and used for the purposes of (c) the development of a non-residential farm building used for bona fide agricultural purposes; where “farm building"" means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use;",2018-07-16,,https://www.notl.com/media/890,,,,,,,BY-LAW 3941-05,Yes,"This By-law is not applicable to the following activities: The removal of topsoil as an incidental part of normal agricultural practice does not include the removal of topsoil for sale, exchange or other disposition; Any work pursuant to normal agricultural practices with a setback of 7.62 m (25ft) or greater from all property lines that does not change the direction, rate or quality of runoff that results in a detrimental effect on neighbouring properties:",2005-06-13,,https://www.notl.com/media/2206,BY-LAW NO. 5543-23,No,,No,,No,Yes,Yes,No,NOT KNOWN,2023-11-23,,"https://www.notl.com/sites/default/files/2024-04/5543-23%20-%20Animal%20Control%20By-law%201.pdf:~:text=95.%20By,law%20shall",Animal Care &amp; Control By-law,No,,,,,,,https://www.notl.com/media/883,BY-LAW NO. 4571-12,No,,2012-07-30,,https://www.notl.com/media/2305,YES,YES,NO,NO,NO,NO,https://www.notl.com/sites/default/files/2021-12/Fence%20By-law%204778-14.pdf
"Nipigon, Tp",,,,,,,,,,,,,,,,,,,By-Law No. 1581,No,,No,,No,Yes,No,,NOT KNOWN,2004-12-07,,https://www.nipigon.net/documents/by-law-no-1581-cat-and-dog-licensing/viewdocument/113,,,,,,,,,,,,,,,,NO,,,,,,
"Nipissing, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2022-42,No,,No,,No,Yes,Yes,No,6,2022-09-20,,https://nipissingtownship.com/wp-content/uploads/2022/10/2022-42-Dog-ByLaw.pdf,,,,,,,,,,,,,,,,NO,,,,,,
Norfolk,By-Law 2019-100,Yes,5. Exemptions from Development Charges(5.2) iv) Farm help house development;v) Farming business development,2019-10-15,,https://www.norfolkcounty.ca/download/Bylaw-2019-100.pdf,,,,,,,,,,,,,By-Law No. 2014-46,No,,No,,No,Yes,Yes,No,none (agricultural purposes exempt),2014-04-08,,https://docs.norfolkcounty.ca/FH/WebClientPortal/DownloadForm.aspx?filename=2014-46%20.pdf&amp;token=2eb600b4-5928-4b59-874b-fe62ed7bd36d&amp;filesize=1648631&amp;contenttype=True,Animal Control By-law,No,,,,,,,https://docs.norfolkcounty.ca/FH/WebClientPortal/DownloadForm.aspx?filename=2014-46%20.pdf&amp;token=1a1dd533-c524-4ffe-9c9c-cc98d224308b&amp;filesize=1648631&amp;contenttype=True,By-law number: 2022-98,Yes,3.1 This By-law does not apply to:n) The Injury or Destruction of Trees that is part of a Normal Farm Practice and carried out as part of an Agricultural Operation.,,,"https://www.norfolkcounty.ca/council-administration-and-government/by-laws-and-policies/by-law-directory/forestry-by-law/:~:text=Enacted%20and%20passed%20this%201st,day%20of%20November%2C%202022",YES,YES,NO,YES,YES,NO,https://www.norfolkcounty.ca/wp-content/uploads/2015/11/By-law-2015-131-Fence.pdf
"North Algona Wilberforce, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"North Bay, C",By-Law No. 2019-72,NOT KNOWN,"Applicable Lands3. (2) This By-law shall not apply to land that is owned by and used for the purposes of: (g) Industrial Uses,where “Industrial Use” means a use considered a permitted use under Industrial Class 1, Industrial Class 2, Industrial Class 3, Wholesale or Transportation Terminal through the City’s Zoning By-law, By-law No. 2015-30, as amended;",2019-10-08,,https://northbay.ca/media/jq3deyyp/by-law-no-2019-72-development-charges-1.pdf,,,,,,,,,,,,,BY-LAW NO. 151-93,No,,No,,No,Yes,No,,none,1994-01-31,,https://northbay.ca/media/dx2mhnmi/1993_151.pdf,,No,,,,,,,,,,,,,,YES,YES,YES,NO,NO,YES,https://www.northbay.ca/media/f1tl0104/bylaw2002-105-fences.pdf
"North Dumfries, Tp",By-law Number 3122-19,Yes,3 (6) This by-law does not apply to:(f) (iii) a farm building,2019-12-09,2025-01-01,https://www.northdumfries.ca/en/doing-business/resources/Documents/By-law-No.-3122-19-Impose-Certain-Development-Charges.pdf,,,,,,,BY-LAW 2612-14,Yes,"3. PERMIT3.1(c) above, a person shall be exempt from providing a lot- grading plan in the following circumstance: (a) if the purpose of the Alteration is to improve the agricultural land use of the land and the quantity of the Fill being added is less than 1,000 cubic metres.",2014-02-03,,https://www.northdumfries.ca/en/township-services/resources/Documents/By-laws/Consolidated-Fill-By-Law-2612-14-as-amended-9-consolidated-on-Oct-15-2021.pdf,BY-LAW NUMBER 3160-20,No,,No,,No,Yes,No,,none,2020-06-22,,https://www.northdumfries.ca/en/township-services/resources/Documents/By-law-No.-3160-20-Regulate-Dogs-and-Licence-Dog-Kennels-REPEAL-BY-LAWS-1268-90-1294-91-2255-07.pdf,Exotic Animals By-law,No,,,,,,,https://www.northdumfries.ca/en/township-services/resources/Documents/By-laws/By-law-No.-3281-21-Regulate-Exotic-Animals.pdf,BY-LAW NUMBER 08-026,No,,2008-06-18,,https://www.regionofwaterloo.ca/en/resources/Bylaws/By-law-08-026.PDFhttps://www.regionofwaterloo.ca/en/resources/Bylaws/By-law-08-026.PDF,YES,YES,NO,YES,YES,NO,https://www.northdumfries.ca/en/township-services/resources/By-laws/Fence-By-law-3522-24.pdf
"North Dundas, Tp",BYLAW NUMBER 2022-35,Yes,"4.0 Applicable Lands(4.2) (e) a non-residential farm building used for bona fide agricultural purposes;  where ""Farm Building"" means a building or part thereof which does not contain a residential occupancy and which is associated with and located on land devoted to the practice of farming and used essentially for the housing of equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds and shall not include manure storage facilities, but excludes a building or extension to a building having a gross floor area of less than 46.45 square metres (500 square feet).",2022-05-03,2027-05-04,https://www.northdundas.com/sites/1/files/2023-01/Bylaw%20No.%202022-35%20Development%20Charges.pdf,,,,,,,,,,,,,BYLAW No. 2023-100,No,,No,,No,Yes,Yes,No,4 7.4 No person shall keep or allow to be kept in the Rural Area of the Municipality more than four (4) dogs but not applicable to dogs less than 6 months old.,2023-12-11,,https://www.northdundas.com/sites/1/files/2023-12/Bylaw%202023-100%20To%20regulate%20the%20keeping%20and%20licensing%20of%20dogs.pdf,,No,,,,,,,,,,,,,,NO,,,,,,
"North Frontenac, Tp",,,,,,,,,,,,,,,,,,,By-law 68-22,No,,No,,No,Yes,Yes,No,none,2022-09-23,,https://www.northfrontenac.com/en/township-services/resources/Frequent-By-laws/By-law-Enforcement/68-22---Animal-Control-By-law.pdf,By-law 68-22 Animal Control By-law,Yes,0.2 hectares to 1.2 hectares: Maximum six (6) Hens Over 1.2 hectares to 4 hectares: Maximum twelve (12) Hens Over 4 hectares: Maximum twentyfive (25) Hens,2022-09-23,,No,No,NOT KNOWN,https://www.northfrontenac.com/en/township-services/resources/Frequent-By-laws/By-law-Enforcement/68-22---Animal-Control-By-law.pdf,,,,,,,YES,YES,NO,YES,YES,NO,https://www.northfrontenac.com/en/township-services/resources/Documents/By-Laws/Fence-By-law-2024-58.pdf
"North Kawartha, Tp",,,,,,,,,,,,,,,,,,,By-law 2020-0015,No,,No,,No,Yes,No,,NOT KNOWN,2020-02-04,,https://www.northkawartha.ca/uploads/15/Doc_637412964841788444.pdf?ts=638428280899840308,,,,,,,,,,By-law 2023-0060,No,,2023-09-05,,https://www.northkawartha.ca/uploads/15/Doc_638320996585399395.pdf?ts=638440359823374280,NO,,,,,,
"North Middlesex, M",By-Law 41 of 2022- Development Charges,No,"Development shall be imposed on all lands, builidngs or structures that are developed for residential or non-residental uses if the development requires:i. The passing of a zoning bylawii. Approval of a minor varianceiii. A conveyance of landiv.aproval of a plan of subdivisionv. a consentvi. the approval of a descriptionvii. The issuing of a permint in realation to the building or structure",2022-04-20,2027-04-20,https://www.northmiddlesex.on.ca/laws/law-41-2022-development-charges,,,,,,,,,,,,,By-Law No. 090 of 2022,Yes,"a dog that works and/ or lives with domestic farm animals such as cattle, sheep and poultry to protect them while repelling predators and is used on land legally used for exclusively for that purpose.",Yes,a dog that has been trained and is actively being used on land legally used for a bona fide farming operation for the purposes of controlling livestock on the farm.,Yes,No,Yes,Yes,"3.4. Livestock Guardian Dogs and Herding Dogs Notwithstanding section 3.1 of this by-law, more than two (2) livestock guardian dogs and/or herding dogs may be licensed for lawful livestock operations on agricultural premises. Where Livestock Guardian Dogs are present at a premise, post in a conspicuous place at the entrance(s) of the owner’s premises a clearly visible sign warning of the presence of Livestock Guardian Dog(s).",2022-09-07,,https://www.northmiddlesex.on.ca/sites/default/files/2023-01/Animal%20Control%20By-law%20090%20of%202022%20with%20set%20fine%20order_1.pdf,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,https://northmiddlesex.on.ca/by-laws
